node,gas,method,model,config,basis,period,ref_col,pred_col,clip_zero,source_table,orig_R2_test,repro_diff,n,n_scored,R2,RMSE,MAE,MBE,nRMSE,pearson_r,CEN_level
5,PM2.5,ml,LSTM,A,own,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5147492499978008,,18815,13138,0.6425239521999033,3.3506939751706635,2.1814697861290355,0.10987580532097783,36.12073014186258,0.8073430979831362,Marginal
5,PM2.5,ml,LSTM,A,intersection,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5147492499978008,,18815,13138,0.6425239521999033,3.3506939751706635,2.1814697861290355,0.10987580532097783,36.12073014186258,0.8073430979831362,Marginal
5,PM2.5,ml,XGBoost,B,own,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.6186022494950483,0.0,3701,3701,0.6186022494950483,3.677764682121834,2.576183065727768,0.7592763974839886,39.629100324723865,0.7979458771833399,Marginal
5,PM2.5,ml,XGBoost,B,intersection,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.6186022494950483,,3701,3701,0.6186022494950483,3.677764682121834,2.576183065727768,0.7592763974839886,39.629100324723865,0.7979458771833399,Marginal
5,PM2.5,ml,XGBoost,B,own,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.6186022494950483,,18815,18815,0.6963900401484212,3.015395804171195,2.112561214765335,0.15048791891458407,32.5503861521538,0.835163400811575,Marginal
5,PM2.5,ml,XGBoost,B,intersection,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.6186022494950483,,18815,18815,0.6963900401484212,3.015395804171195,2.112561214765335,0.15048791891458407,32.5503861521538,0.835163400811575,Marginal
5,PM2.5,ml,LSTM,B,own,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.4021220479521236,-8.2927925637577e-09,3701,1907,0.402122039659331,4.419160627679079,3.2925484226708894,1.6229186455617104,45.90304110781635,0.7229328987901215,Marginal
5,PM2.5,ml,LSTM,B,intersection,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.4021220479521236,,3701,1907,0.402122039659331,4.419160627679079,3.2925484226708894,1.6229186455617104,45.90304110781635,0.7229328987901215,Marginal
5,PM2.5,ml,LSTM,B,own,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.4021220479521236,,18815,13138,0.6418394250623893,3.3539005452365394,2.236854491884949,0.18433230717009036,36.155297205548116,0.8019268022491812,Marginal
5,PM2.5,ml,LSTM,B,intersection,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.4021220479521236,,18815,13138,0.6418394250623893,3.3539005452365394,2.236854491884949,0.18433230717009036,36.155297205548116,0.8019268022491812,Marginal
5,PM2.5,ml,XGBoost,C,own,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5995626044700328,0.0,3703,3703,0.5995626044700328,3.767435809495576,2.6353663880535954,0.7904457542466821,40.5948169777167,0.7932586445979425,Marginal
5,PM2.5,ml,XGBoost,C,intersection,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5995626044700328,,3701,3701,0.599607235883099,3.768235046947185,2.6360813430501655,0.7914952190783628,40.60394767738531,0.7933005722929989,Marginal
5,PM2.5,ml,XGBoost,C,own,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5995626044700328,,18817,18817,0.6907076370997445,3.043323165244843,2.140661611170307,0.15786798475348315,32.85176546201014,0.8315892768732336,Marginal
